 v-sweep         v(vin)          v(vout)        
 0.00000000e+00  0.00000000e+00  1.49818977e+00 
 1.00000000e-03  1.00000000e-03  1.49819006e+00 
 2.00000000e-03  2.00000000e-03  1.49819034e+00 
 3.00000000e-03  3.00000000e-03  1.49819062e+00 
 4.00000000e-03  4.00000000e-03  1.49819090e+00 
 5.00000000e-03  5.00000000e-03  1.49819118e+00 
 6.00000000e-03  6.00000000e-03  1.49819145e+00 
 7.00000000e-03  7.00000000e-03  1.49819173e+00 
 8.00000000e-03  8.00000000e-03  1.49819200e+00 
 9.00000000e-03  9.00000000e-03  1.49819228e+00 
 1.00000000e-02  1.00000000e-02  1.49819255e+00 
 1.10000000e-02  1.10000000e-02  1.49819282e+00 
 1.20000000e-02  1.20000000e-02  1.49819309e+00 
 1.30000000e-02  1.30000000e-02  1.49819335e+00 
 1.40000000e-02  1.40000000e-02  1.49819362e+00 
 1.50000000e-02  1.50000000e-02  1.49819388e+00 
 1.60000000e-02  1.60000000e-02  1.49819415e+00 
 1.70000000e-02  1.70000000e-02  1.49819441e+00 
 1.80000000e-02  1.80000000e-02  1.49819467e+00 
 1.90000000e-02  1.90000000e-02  1.49819492e+00 
 2.00000000e-02  2.00000000e-02  1.49819518e+00 
 2.10000000e-02  2.10000000e-02  1.49819543e+00 
 2.20000000e-02  2.20000000e-02  1.49819568e+00 
 2.30000000e-02  2.30000000e-02  1.49819593e+00 
 2.40000000e-02  2.40000000e-02  1.49819618e+00 
 2.50000000e-02  2.50000000e-02  1.49819643e+00 
 2.60000000e-02  2.60000000e-02  1.49819667e+00 
 2.70000000e-02  2.70000000e-02  1.49819691e+00 
 2.80000000e-02  2.80000000e-02  1.49819715e+00 
 2.90000000e-02  2.90000000e-02  1.49819739e+00 
 3.00000000e-02  3.00000000e-02  1.49819763e+00 
 3.10000000e-02  3.10000000e-02  1.49819786e+00 
 3.20000000e-02  3.20000000e-02  1.49819809e+00 
 3.30000000e-02  3.30000000e-02  1.49819832e+00 
