 time            v(vin)          v(vout)        
 0.00000000e+00  7.50000000e-01  5.50721241e-01 
 1.00000000e-08  7.50000628e-01  5.50717718e-01 
 2.00000000e-08  7.50001257e-01  5.50711209e-01 
 4.00000000e-08  7.50002513e-01  5.50692350e-01 
 8.00000000e-08  7.50005027e-01  5.50635358e-01 
 1.60000000e-07  7.50010053e-01  5.50482704e-01 
 3.20000000e-07  7.50020106e-01  5.50133499e-01 
 6.40000000e-07  7.50040212e-01  5.49416802e-01 
 1.28000000e-06  7.50080424e-01  5.47991917e-01 
 2.28000000e-06  7.50143252e-01  5.45777973e-01 
 3.28000000e-06  7.50206074e-01  5.43577719e-01 
 4.28000000e-06  7.50268888e-01  5.41388542e-01 
 5.28000000e-06  7.50331691e-01  5.39210413e-01 
 6.28000000e-06  7.50394482e-01  5.37043569e-01 
 7.28000000e-06  7.50457256e-01  5.34888206e-01 
 8.28000000e-06  7.50520013e-01  5.32744510e-01 
 9.28000000e-06  7.50582749e-01  5.30612664e-01 
 1.02800000e-05  7.50645462e-01  5.28492849e-01 
 1.12800000e-05  7.50708150e-01  5.26385243e-01 
 1.22800000e-05  7.50770810e-01  5.24290025e-01 
 1.32800000e-05  7.50833439e-01  5.22207367e-01 
 1.42800000e-05  7.50896035e-01  5.20137442e-01 
 1.52800000e-05  7.50958597e-01  5.18080418e-01 
 1.62800000e-05  7.51021120e-01  5.16036462e-01 
 1.72800000e-05  7.51083603e-01  5.14005736e-01 
 1.82800000e-05  7.51146043e-01  5.11988401e-01 
 1.92800000e-05  7.51208437e-01  5.09984611e-01 
 2.02800000e-05  7.51270785e-01  5.07994521e-01 
 2.12800000e-05  7.51333082e-01  5.06018279e-01 
 2.22800000e-05  7.51395326e-01  5.04056031e-01 
 2.32800000e-05  7.51457515e-01  5.02107917e-01 
 2.42800000e-05  7.51519647e-01  5.00174075e-01 
 2.52800000e-05  7.51581719e-01  4.98254638e-01 
 2.62800000e-05  7.51643728e-01  4.96349733e-01 
 2.72800000e-05  7.51705672e-01  4.94459485e-01 
 2.82800000e-05  7.51767549e-01  4.92584011e-01 
 2.92800000e-05  7.51829356e-01  4.90723427e-01 
 3.02800000e-05  7.51891092e-01  4.88877841e-01 
 3.12800000e-05  7.51952752e-01  4.87047355e-01 
 3.22800000e-05  7.52014335e-01  4.85232068e-01 
 3.32800000e-05  7.52075839e-01  4.83432073e-01 
 3.42800000e-05  7.52137261e-01  4.81647457e-01 
 3.52800000e-05  7.52198598e-01  4.79878300e-01 
 3.62800000e-05  7.52259849e-01  4.78124678e-01 
 3.72800000e-05  7.52321010e-01  4.76386659e-01 
 3.82800000e-05  7.52382080e-01  4.74664308e-01 
 3.92800000e-05  7.52443056e-01  4.72957681e-01 
 4.02800000e-05  7.52503935e-01  4.71266828e-01 
 4.12800000e-05  7.52564716e-01  4.69591795e-01 
 4.22800000e-05  7.52625395e-01  4.67932620e-01 
 4.32800000e-05  7.52685970e-01  4.66289334e-01 
 4.42800000e-05  7.52746440e-01  4.64661963e-01 
 4.52800000e-05  7.52806801e-01  4.63050526e-01 
 4.62800000e-05  7.52867051e-01  4.61455036e-01 
 4.72800000e-05  7.52927189e-01  4.59875500e-01 
 4.82800000e-05  7.52987210e-01  4.58311916e-01 
 4.92800000e-05  7.53047114e-01  4.56764279e-01 
 5.02800000e-05  7.53106897e-01  4.55232577e-01 
 5.12800000e-05  7.53166558e-01  4.53716791e-01 
 5.22800000e-05  7.53226093e-01  4.52216896e-01 
 5.32800000e-05  7.53285502e-01  4.50732861e-01 
 5.42800000e-05  7.53344780e-01  4.49264651e-01 
 5.52800000e-05  7.53403927e-01  4.47812222e-01 
 5.62800000e-05  7.53462939e-01  4.46375527e-01 
 5.72800000e-05  7.53521814e-01  4.44954513e-01 
 5.82800000e-05  7.53580551e-01  4.43549119e-01 
 5.92800000e-05  7.53639146e-01  4.42159284e-01 
 6.02800000e-05  7.53697597e-01  4.40784937e-01 
 6.12800000e-05  7.53755903e-01  4.39426004e-01 
 6.22800000e-05  7.53814060e-01  4.38082407e-01 
 6.32800000e-05  7.53872066e-01  4.36754063e-01 
 6.42800000e-05  7.53929920e-01  4.35440884e-01 
 6.52800000e-05  7.53987619e-01  4.34142779e-01 
 6.62800000e-05  7.54045160e-01  4.32859652e-01 
 6.72800000e-05  7.54102541e-01  4.31591404e-01 
 6.82800000e-05  7.54159761e-01  4.30337931e-01 
 6.92800000e-05  7.54216816e-01  4.29099128e-01 
 7.02800000e-05  7.54273705e-01  4.27874886e-01 
 7.12800000e-05  7.54330425e-01  4.26665091e-01 
 7.22800000e-05  7.54386974e-01  4.25469628e-01 
 7.32800000e-05  7.54443350e-01  4.24288380e-01 
 7.42800000e-05  7.54499550e-01  4.23121228e-01 
 7.52800000e-05  7.54555573e-01  4.21968047e-01 
 7.62800000e-05  7.54611416e-01  4.20828714e-01 
 7.72800000e-05  7.54667077e-01  4.19703104e-01 
 7.82800000e-05  7.54722554e-01  4.18591088e-01 
 7.92800000e-05  7.54777844e-01  4.17492536e-01 
 8.02800000e-05  7.54832946e-01  4.16407319e-01 
 8.12800000e-05  7.54887857e-01  4.15335306e-01 
 8.22800000e-05  7.54942575e-01  4.14276362e-01 
 8.32800000e-05  7.54997098e-01  4.13230356e-01 
 8.42800000e-05  7.55051423e-01  4.12197152e-01 
 8.52800000e-05  7.55105549e-01  4.11176618e-01 
 8.62800000e-05  7.55159474e-01  4.10168617e-01 
 8.72800000e-05  7.55213195e-01  4.09173015e-01 
 8.82800000e-05  7.55266710e-01  4.08189676e-01 
 8.92800000e-05  7.55320017e-01  4.07218466e-01 
 9.02800000e-05  7.55373114e-01  4.06259250e-01 
 9.12800000e-05  7.55425999e-01  4.05311893e-01 
 9.22800000e-05  7.55478670e-01  4.04376261e-01 
 9.32800000e-05  7.55531124e-01  4.03452220e-01 
 9.42800000e-05  7.55583360e-01  4.02539637e-01 
 9.52800000e-05  7.55635376e-01  4.01638379e-01 
 9.62800000e-05  7.55687169e-01  4.00748315e-01 
 9.72800000e-05  7.55738738e-01  3.99869314e-01 
 9.82800000e-05  7.55790080e-01  3.99001245e-01 
 9.92800000e-05  7.55841193e-01  3.98143979e-01 
 1.00280000e-04  7.55892076e-01  3.97297389e-01 
 1.01280000e-04  7.55942727e-01  3.96461348e-01 
 1.02280000e-04  7.55993142e-01  3.95635729e-01 
 1.03280000e-04  7.56043322e-01  3.94820408e-01 
 1.04280000e-04  7.56093262e-01  3.94015262e-01 
 1.05280000e-04  7.56142962e-01  3.93220169e-01 
 1.06280000e-04  7.56192420e-01  3.92435008e-01 
 1.07280000e-04  7.56241633e-01  3.91659660e-01 
 1.08280000e-04  7.56290599e-01  3.90894006e-01 
 1.09280000e-04  7.56339318e-01  3.90137930e-01 
 1.10280000e-04  7.56387786e-01  3.89391318e-01 
 1.11280000e-04  7.56436001e-01  3.88654054e-01 
 1.12280000e-04  7.56483963e-01  3.87926028e-01 
 1.13280000e-04  7.56531669e-01  3.87207129e-01 
 1.14280000e-04  7.56579117e-01  3.86497247e-01 
 1.15280000e-04  7.56626305e-01  3.85796274e-01 
 1.16280000e-04  7.56673232e-01  3.85104105e-01 
 1.17280000e-04  7.56719895e-01  3.84420636e-01 
 1.18280000e-04  7.56766293e-01  3.83745762e-01 
 1.19280000e-04  7.56812423e-01  3.83079383e-01 
 1.20280000e-04  7.56858285e-01  3.82421398e-01 
 1.21280000e-04  7.56903876e-01  3.81771710e-01 
