frequency,Aol_dB,Aol_arg
1.000000000000000056e-01,3.099618369999999956e+01,1.799999980000000050e+02
1.046651209999999999e-01,3.099618369999999956e+01,1.799999980000000050e+02
1.095478760000000024e-01,3.099618369999999956e+01,1.799999980000000050e+02
1.146584169999999986e-01,3.099618369999999956e+01,1.799999980000000050e+02
1.200073710000000016e-01,3.099618369999999956e+01,1.799999980000000050e+02
1.256058600000000136e-01,3.099618369999999956e+01,1.799999980000000050e+02
1.314655249999999997e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.375985510000000134e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.440176900000000038e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.507362899999999950e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.577683199999999897e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.651284040000000064e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.728318440000000122e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.808946580000000137e-01,3.099618369999999956e+01,1.799999970000000076e+02
1.893336130000000117e-01,3.099618369999999956e+01,1.799999960000000101e+02
1.981662550000000134e-01,3.099618369999999956e+01,1.799999960000000101e+02
2.074109510000000101e-01,3.099618369999999956e+01,1.799999960000000101e+02
2.170869229999999872e-01,3.099618369999999956e+01,1.799999960000000101e+02
2.272142910000000127e-01,3.099618369999999956e+01,1.799999960000000101e+02
2.378141129999999936e-01,3.099618369999999956e+01,1.799999950000000126e+02
2.489084289999999866e-01,3.099618369999999956e+01,1.799999950000000126e+02
2.605203090000000055e-01,3.099618369999999956e+01,1.799999950000000126e+02
2.726738969999999984e-01,3.099618369999999956e+01,1.799999950000000126e+02
2.853944640000000144e-01,3.099618369999999956e+01,1.799999950000000126e+02
2.987084609999999807e-01,3.099618369999999956e+01,1.799999939999999867e+02
3.126435730000000079e-01,3.099618369999999956e+01,1.799999939999999867e+02
3.272287740000000000e-01,3.099618369999999956e+01,1.799999939999999867e+02
3.424943919999999808e-01,3.099618369999999956e+01,1.799999929999999893e+02
3.584721710000000061e-01,3.099618369999999956e+01,1.799999929999999893e+02
3.751953310000000208e-01,3.099618369999999956e+01,1.799999929999999893e+02
3.926986479999999835e-01,3.099618369999999956e+01,1.799999929999999893e+02
4.110185149999999732e-01,3.099618369999999956e+01,1.799999919999999918e+02
4.301930270000000056e-01,3.099618369999999956e+01,1.799999919999999918e+02
4.502620520000000237e-01,3.099618369999999956e+01,1.799999909999999943e+02
4.712673219999999885e-01,3.099618369999999956e+01,1.799999909999999943e+02
4.932525130000000035e-01,3.099618369999999956e+01,1.799999909999999943e+02
5.162633399999999595e-01,3.099618369999999956e+01,1.799999899999999968e+02
5.403476499999999572e-01,3.099618369999999956e+01,1.799999899999999968e+02
5.655555230000000044e-01,3.099618369999999956e+01,1.799999889999999994e+02
5.919393720000000192e-01,3.099618369999999956e+01,1.799999889999999994e+02
6.195540609999999893e-01,3.099618369999999956e+01,1.799999880000000019e+02
6.484570079999999459e-01,3.099618369999999956e+01,1.799999880000000019e+02
6.787083130000000075e-01,3.099618369999999956e+01,1.799999870000000044e+02
7.103708770000000117e-01,3.099618369999999956e+01,1.799999860000000069e+02
7.435105389999999703e-01,3.099618369999999956e+01,1.799999860000000069e+02
7.781962059999999459e-01,3.099618369999999956e+01,1.799999850000000094e+02
8.145000009999999735e-01,3.099618369999999956e+01,1.799999840000000120e+02
8.524974119999999544e-01,3.099618369999999956e+01,1.799999840000000120e+02
8.922674489999999903e-01,3.099618369999999956e+01,1.799999829999999861e+02
9.338928050000000480e-01,3.099618369999999956e+01,1.799999819999999886e+02
9.774600359999999766e-01,3.099618369999999956e+01,1.799999809999999911e+02
1.023059729999999945e+00,3.099618369999999956e+01,1.799999809999999911e+02
1.070786699999999980e+00,3.099618369999999956e+01,1.799999799999999937e+02
1.120740199999999964e+00,3.099618369999999956e+01,1.799999789999999962e+02
1.173024089999999964e+00,3.099618369999999956e+01,1.799999779999999987e+02
1.227747080000000102e+00,3.099618369999999956e+01,1.799999770000000012e+02
1.285022969999999987e+00,3.099618369999999956e+01,1.799999760000000038e+02
1.344970849999999940e+00,3.099618369999999956e+01,1.799999740000000088e+02
1.407715370000000021e+00,3.099618369999999956e+01,1.799999730000000113e+02
1.473386990000000063e+00,3.099618369999999956e+01,1.799999720000000138e+02
1.542122280000000067e+00,3.099618369999999956e+01,1.799999709999999880e+02
1.614064149999999920e+00,3.099618369999999956e+01,1.799999689999999930e+02
1.689362199999999925e+00,3.099618369999999956e+01,1.799999679999999955e+02
1.768172990000000055e+00,3.099618369999999956e+01,1.799999660000000006e+02
1.850660399999999983e+00,3.099618369999999956e+01,1.799999650000000031e+02
1.936995950000000022e+00,3.099618369999999956e+01,1.799999630000000082e+02
2.027359160000000049e+00,3.099618369999999956e+01,1.799999610000000132e+02
2.121937920000000144e+00,3.099618369999999956e+01,1.799999599999999873e+02
