vin,vout,dvout_dvin
0.000000000000000000e+00,1.498189769999999976e+00,2.900000000138902578e-04
1.000000000000000021e-03,1.498190059999999990e+00,2.850000000762520358e-04
2.000000000000000042e-03,1.498190340000000065e+00,2.799999999751889845e-04
3.000000000000000062e-03,1.498190619999999917e+00,2.799999998615021468e-04
4.000000000000000083e-03,1.498190899999999992e+00,2.800000000888758223e-04
5.000000000000000104e-03,1.498191180000000067e+00,2.750000001014996087e-04
6.000000000000000125e-03,1.498191449999999980e+00,2.749999999878127710e-04
7.000000000000000146e-03,1.498191730000000055e+00,2.749999999878127710e-04
8.000000000000000167e-03,1.498191999999999968e+00,2.749999999878127710e-04
8.999999999999999320e-03,1.498192280000000043e+00,2.749999998741259333e-04
1.000000000000000021e-02,1.498192549999999956e+00,2.700000001141233952e-04
1.099999999999999936e-02,1.498192820000000092e+00,2.699999998867497197e-04
1.200000000000000025e-02,1.498193090000000005e+00,2.650000001267471816e-04
1.299999999999999940e-02,1.498193349999999979e+00,2.649999997856866685e-04
1.400000000000000029e-02,1.498193619999999893e+00,2.650000001267471816e-04
1.499999999999999944e-02,1.498193880000000089e+00,2.650000000130603439e-04
1.600000000000000033e-02,1.498194150000000002e+00,2.650000000130603439e-04
1.700000000000000122e-02,1.498194409999999976e+00,2.599999999119972927e-04
1.799999999999999864e-02,1.498194669999999951e+00,2.550000001519947546e-04
1.899999999999999953e-02,1.498194919999999986e+00,2.549999999246210791e-04
2.000000000000000042e-02,1.498195179999999960e+00,2.549999999246210791e-04
2.100000000000000130e-02,1.498195429999999995e+00,2.499999998235580279e-04
2.199999999999999872e-02,1.498195680000000030e+00,2.500000001646185410e-04
2.299999999999999961e-02,1.498195930000000065e+00,2.500000000509317033e-04
2.400000000000000050e-02,1.498196180000000099e+00,2.499999999372448656e-04
2.500000000000000139e-02,1.498196429999999912e+00,2.449999998361818143e-04
2.599999999999999881e-02,1.498196670000000008e+00,2.400000001898661139e-04
2.699999999999999969e-02,1.498196910000000104e+00,2.399999999624924385e-04
2.800000000000000058e-02,1.498197149999999978e+00,2.399999999624924385e-04
2.900000000000000147e-02,1.498197390000000073e+00,2.399999998488056008e-04
2.999999999999999889e-02,1.498197629999999947e+00,2.350000000888030627e-04
3.099999999999999978e-02,1.498197860000000103e+00,2.299999999877400114e-04
3.200000000000000067e-02,1.498198090000000038e+00,2.299999998740531737e-04
3.300000000000000155e-02,1.498198319999999972e+00,2.299999999877400114e-04
3.400000000000000244e-02,1.498198549999999907e+00,2.250000000003637979e-04
3.500000000000000333e-02,1.498198769999999902e+00,2.200000001266744221e-04
3.599999999999999728e-02,1.498198989999999897e+00,2.199999998993007466e-04
3.699999999999999817e-02,1.498199209999999892e+00,2.200000001266744221e-04
3.799999999999999906e-02,1.498199430000000110e+00,2.150000000256113708e-04
3.899999999999999994e-02,1.498199639999999944e+00,2.099999999245483195e-04
4.000000000000000083e-02,1.498199850000000000e+00,2.100000000382351573e-04
4.100000000000000172e-02,1.498200060000000056e+00,2.050000000508589437e-04
4.200000000000000261e-02,1.498200259999999950e+00,2.000000001771695679e-04
4.299999999999999656e-02,1.498200460000000067e+00,1.999999998361090547e-04
4.399999999999999745e-02,1.498200659999999962e+00,2.000000000634827302e-04
4.499999999999999833e-02,1.498200860000000079e+00,1.950000000761065166e-04
4.599999999999999922e-02,1.498201050000000034e+00,1.899999999750434654e-04
4.700000000000000011e-02,1.498201239999999990e+00,1.849999999876672518e-04
4.800000000000000100e-02,1.498201420000000006e+00,1.800000000002910383e-04
4.900000000000000189e-02,1.498201600000000022e+00,1.800000000002910383e-04
5.000000000000000278e-02,1.498201780000000038e+00,1.750000001266016625e-04
5.099999999999999672e-02,1.498201949999999893e+00,1.699999999118517735e-04
5.199999999999999761e-02,1.498202119999999971e+00,1.700000001392254489e-04
5.299999999999999850e-02,1.498202290000000048e+00,1.650000000381623977e-04
5.399999999999999939e-02,1.498202449999999963e+00,1.599999999370993464e-04
5.500000000000000028e-02,1.498202610000000101e+00,1.550000000634099706e-04
5.600000000000000117e-02,1.498202760000000078e+00,1.500000000760337571e-04
5.700000000000000205e-02,1.498202910000000054e+00,1.499999999623469193e-04
5.800000000000000294e-02,1.498203060000000031e+00,1.450000000886575435e-04
5.899999999999999689e-02,1.498203200000000068e+00,1.349999997728446033e-04
5.999999999999999778e-02,1.498203329999999944e+00,1.300000000128420652e-04
6.099999999999999867e-02,1.498203460000000042e+00,1.300000000128420652e-04
6.199999999999999956e-02,1.498203589999999918e+00,1.250000000254658516e-04
6.300000000000000044e-02,1.498203710000000077e+00,1.150000000507134246e-04
6.400000000000000133e-02,1.498203820000000075e+00,1.099999999496503733e-04
6.500000000000000222e-02,1.498203930000000073e+00,1.049999998485873220e-04
6.600000000000000311e-02,1.498204029999999909e+00,9.999999997489794623e-05
6.700000000000000400e-02,1.498204129999999967e+00,9.500000010120857041e-05
6.800000000000000488e-02,1.498204220000000086e+00,8.500000001276930561e-05
6.900000000000000577e-02,1.498204300000000044e+00,8.000000002539309207e-05
7.000000000000000666e-02,1.498204380000000002e+00,8.000000002539309207e-05
7.099999999999999367e-02,1.498204459999999960e+00,6.999999993695382727e-05
7.199999999999999456e-02,1.498204520000000040e+00,5.999999996220140019e-05
7.299999999999999545e-02,1.498204579999999897e+00,5.500000008851202438e-05
7.399999999999999634e-02,1.498204630000000037e+00,4.500000011375959730e-05
7.499999999999999722e-02,1.498204670000000016e+00,3.999999989900970832e-05
7.599999999999999811e-02,1.498204709999999995e+00,3.500000002532033250e-05
7.699999999999999900e-02,1.498204740000000035e+00,2.500000005056790542e-05
7.799999999999999989e-02,1.498204759999999913e+00,1.499999996212864062e-05
7.900000000000000078e-02,1.498204770000000075e+00,4.999999987376213539e-06
8.000000000000000167e-02,1.498204770000000075e+00,-4.999999987376213539e-06
8.100000000000000255e-02,1.498204759999999913e+00,-9.999999974752427079e-06
8.200000000000000344e-02,1.498204749999999974e+00,-2.000000006319169188e-05
8.300000000000000433e-02,1.498204719999999934e+00,-3.000000003794411896e-05
8.400000000000000522e-02,1.498204689999999895e+00,-3.500000002532033250e-05
8.500000000000000611e-02,1.498204649999999916e+00,-4.999999987376213539e-05
8.599999999999999312e-02,1.498204590000000058e+00,-6.000000007588823792e-05
8.699999999999999400e-02,1.498204529999999979e+00,-6.999999993695382727e-05
8.799999999999999489e-02,1.498204450000000021e+00,-8.500000001276930561e-05
8.899999999999999578e-02,1.498204359999999902e+00,-9.000000011383235687e-05
8.999999999999999667e-02,1.498204270000000005e+00,-1.049999999622741598e-04
9.099999999999999756e-02,1.498204150000000068e+00,-1.200000000380896381e-04
9.199999999999999845e-02,1.498204029999999909e+00,-1.249999999117790139e-04
9.299999999999999933e-02,1.498203900000000033e+00,-1.399999998739076545e-04
9.400000000000000022e-02,1.498203750000000056e+00,-1.600000000507861841e-04
9.500000000000000111e-02,1.498203579999999979e+00,-1.700000001392254489e-04
9.600000000000000200e-02,1.498203409999999902e+00,-1.800000000002910383e-04
9.700000000000000289e-02,1.498203219999999947e+00,-1.999999999497958925e-04
9.800000000000000377e-02,1.498203009999999891e+00,-2.150000000256113708e-04
9.900000000000000466e-02,1.498202789999999895e+00,-2.250000000003637979e-04
1.000000000000000056e-01,1.498202559999999961e+00,-2.449999999498686520e-04
1.010000000000000064e-01,1.498202299999999987e+00,-2.599999999119972927e-04
1.019999999999999934e-01,1.498202040000000013e+00,-2.749999999878127710e-04
1.029999999999999943e-01,1.498201749999999999e+00,-2.950000000510044629e-04
1.039999999999999952e-01,1.498201450000000046e+00,-3.149999998868224793e-04
1.049999999999999961e-01,1.498201120000000053e+00,-3.350000000637010089e-04
1.059999999999999970e-01,1.498200779999999899e+00,-3.500000000258296495e-04
1.069999999999999979e-01,1.498200420000000088e+00,-3.699999999753345037e-04
1.079999999999999988e-01,1.498200039999999955e+00,-3.900000000385261956e-04
1.089999999999999997e-01,1.498199639999999944e+00,-4.099999998743442120e-04
1.100000000000000006e-01,1.498199220000000054e+00,-4.299999999375359039e-04
1.110000000000000014e-01,1.498198780000000063e+00,-4.550000001017906470e-04
1.120000000000000023e-01,1.498198310000000033e+00,-4.800000001523585524e-04
1.130000000000000032e-01,1.498197819999999902e+00,-4.999999999881765689e-04
1.140000000000000041e-01,1.498197309999999893e+00,-5.249999999250576366e-04
1.150000000000000050e-01,1.498196770000000067e+00,-5.549999999630017555e-04
1.160000000000000059e-01,1.498196199999999978e+00,-5.800000000135696610e-04
1.170000000000000068e-01,1.498195610000000011e+00,-5.999999999630745151e-04
1.179999999999999938e-01,1.498194999999999943e+00,-6.300000001147054718e-04
1.189999999999999947e-01,1.498194349999999897e+00,-6.599999999252759153e-04
1.199999999999999956e-01,1.498193679999999972e+00,-6.899999999632200343e-04
1.209999999999999964e-01,1.498192970000000068e+00,-7.200000000011641532e-04
1.219999999999999973e-01,1.498192240000000064e+00,-7.499999999254214345e-04
1.229999999999999982e-01,1.498191470000000081e+00,-7.799999999633655534e-04
