time,vin,vout
0.000000000000000000e+00,7.500000000000000000e-01,5.507212409999999725e-01
1.000000000000000021e-08,7.500006280000000025e-01,5.507177180000000227e-01
2.000000000000000042e-08,7.500012569999999767e-01,5.507112090000000348e-01
4.000000000000000084e-08,7.500025129999999818e-01,5.506923500000000526e-01
8.000000000000000167e-08,7.500050270000000463e-01,5.506353579999999637e-01
1.600000000000000033e-07,7.500100530000000099e-01,5.504827039999999894e-01
3.200000000000000067e-07,7.500201060000000197e-01,5.501334989999999703e-01
6.400000000000000134e-07,7.500402120000000394e-01,5.494168019999999819e-01
1.280000000000000027e-06,7.500804239999999679e-01,5.479919170000000506e-01
2.280000000000000193e-06,7.501432519999999826e-01,5.457779729999999718e-01
3.279999999999999936e-06,7.502060739999999450e-01,5.435777189999999592e-01
4.279999999999999679e-06,7.502688880000000227e-01,5.413885419999999726e-01
5.280000000000000269e-06,7.503316909999999673e-01,5.392104130000000550e-01
6.280000000000000012e-06,7.503944820000000293e-01,5.370435690000000539e-01
7.279999999999999755e-06,7.504572560000000170e-01,5.348882059999999772e-01
8.280000000000000345e-06,7.505200130000000414e-01,5.327445100000000044e-01
9.279999999999999241e-06,7.505827489999999935e-01,5.306126639999999561e-01
1.027999999999999983e-05,7.506454620000000411e-01,5.284928490000000423e-01
1.128000000000000042e-05,7.507081500000000185e-01,5.263852430000000027e-01
1.227999999999999932e-05,7.507708100000000107e-01,5.242900249999999929e-01
1.327999999999999991e-05,7.508334389999999914e-01,5.222073670000000334e-01
1.428000000000000050e-05,7.508960350000000172e-01,5.201374420000000054e-01
1.527999999999999939e-05,7.509585970000000055e-01,5.180804180000000425e-01
1.627999999999999998e-05,7.510211199999999865e-01,5.160364619999999736e-01
1.728000000000000057e-05,7.510836029999999885e-01,5.140057359999999909e-01
1.828000000000000116e-05,7.511460429999999855e-01,5.119884009999999819e-01
1.927999999999999837e-05,7.512084369999999511e-01,5.099846110000000321e-01
2.027999999999999896e-05,7.512707849999999965e-01,5.079945209999999767e-01
2.127999999999999955e-05,7.513330820000000410e-01,5.060182789999999597e-01
