 time            v(vout)        
 2.54008602e-06  1.43277115e+00 
 2.54018602e-06  1.45481204e+00 
 2.54028602e-06  1.46996214e+00 
 2.54038602e-06  1.48017884e+00 
 2.54048602e-06  1.48188304e+00 
 2.54058602e-06  1.48310245e+00 
 2.54068349e-06  1.50571349e+00 
 2.54078349e-06  1.54183608e+00 
 2.54088349e-06  1.57595937e+00 
 2.54098349e-06  1.59821926e+00 
 2.54108349e-06  1.60281634e+00 
 2.54118349e-06  1.58494119e+00 
 2.54128349e-06  1.53952969e+00 
 2.54138349e-06  1.45402865e+00 
 2.54148349e-06  1.11410164e+00 
 2.54158349e-06  4.18207563e-01 
 2.54168349e-06  7.22694825e-02 
 2.54178349e-06  2.56459944e-02 
 2.54188349e-06  1.66691018e-02 
 2.54198349e-06  1.38854403e-02 
 2.54208349e-06  1.37665124e-02 
 2.54218349e-06  1.09777380e-02 
 2.54228349e-06  4.06695232e-03 
 2.54238349e-06 -5.69151228e-03 
 2.54248349e-06 -1.81939782e-02 
 2.54258349e-06 -4.90724750e-02 
 2.54268349e-06 -8.12262485e-02 
 2.54278349e-06 -9.54785082e-02 
 2.54288349e-06 -4.95067304e-02 
 2.54298349e-06  6.09452315e-02 
 2.54308349e-06  3.74877464e-01 
 2.54318349e-06  9.80370583e-01 
 2.54325475e-06  1.20708700e+00 
 2.54333505e-06  1.32892587e+00 
 2.54343505e-06  1.39971469e+00 
 2.54353505e-06  1.43308207e+00 
 2.54363505e-06  1.45501830e+00 
 2.54373505e-06  1.47010686e+00 
 2.54383505e-06  1.48028646e+00 
 2.54393505e-06  1.48182400e+00 
 2.54403505e-06  1.48323420e+00 
 2.54413505e-06  1.50683979e+00 
 2.54423505e-06  1.54315427e+00 
 2.54433505e-06  1.57701700e+00 
 2.54443505e-06  1.59870246e+00 
 2.54453223e-06  1.60278802e+00 
 2.54463223e-06  1.58464360e+00 
 2.54473223e-06  1.53903718e+00 
 2.54483223e-06  1.45303893e+00 
 2.54493223e-06  1.10874397e+00 
 2.54503223e-06  4.14217557e-01 
 2.54513223e-06  7.11263520e-02 
 2.54522852e-06  2.65928663e-02 
 2.54532852e-06  1.68036092e-02 
 2.54542852e-06  1.38937177e-02 
 2.54552852e-06  1.38126107e-02 
 2.54562852e-06  1.11000934e-02 
 2.54572852e-06  4.33533005e-03 
 2.54582852e-06 -5.39856170e-03 
 2.54592852e-06 -1.76966311e-02 
 2.54602852e-06 -4.80755761e-02 
 2.54612852e-06 -8.01661206e-02 
 2.54622852e-06 -9.60358227e-02 
 2.54632852e-06 -5.15284526e-02 
 2.54642852e-06  5.62699128e-02 
 2.54652852e-06  3.59629596e-01 
 2.54662852e-06  9.66073320e-01 
 2.54670077e-06  1.20277774e+00 
 2.54678201e-06  1.32786357e+00 
 2.54688201e-06  1.39928980e+00 
 2.54698201e-06  1.43281136e+00 
 2.54708201e-06  1.45484164e+00 
 2.54718201e-06  1.46997967e+00 
 2.54728201e-06  1.48019544e+00 
 2.54738201e-06  1.48187309e+00 
 2.54748201e-06  1.48312203e+00 
 2.54758000e-06  1.50591507e+00 
 2.54768000e-06  1.54208056e+00 
 2.54778000e-06  1.57615099e+00 
 2.54788000e-06  1.59831256e+00 
 2.54798000e-06  1.60277722e+00 
 2.54808000e-06  1.58473753e+00 
 2.54818000e-06  1.53912111e+00 
 2.54828000e-06  1.45324769e+00 
 2.54838000e-06  1.10963051e+00 
 2.54848000e-06  4.14931673e-01 
 2.54858000e-06  7.12959396e-02 
 2.54868000e-06  2.56157297e-02 
 2.54878000e-06  1.66085094e-02 
 2.54887983e-06  1.38978508e-02 
 2.54897983e-06  1.37531950e-02 
 2.54907983e-06  1.09610415e-02 
 2.54917983e-06  4.01687472e-03 
 2.54927983e-06 -5.73759248e-03 
 2.54937983e-06 -1.82853464e-02 
 2.54947983e-06 -4.92361615e-02 
 2.54957983e-06 -8.14122756e-02 
 2.54967983e-06 -9.53751092e-02 
 2.54977983e-06 -4.91584018e-02 
 2.54987983e-06  6.17533073e-02 
 2.54993992e-06  1.92187081e-01 
 2.55000000e-06  4.71668767e-01 
